When was the sale date?,What was the Order ID?,Customer ID,How many items in order?,When did the item ship out?,What was the shipping city?,What was the shipping state?,What was the shipping country?,What was the order value?,What was the discount amount?,what was shipping charge?,What was the order total?,What is the card processing fees?,What was the shipping zipcode?,What was order net?,What was the coupon code?
10/14/23,3042443647,yyqc7iho,1,10/16/23,Aumsville,OR,United States,18,1.8,0,16.2,0.74,97325-9723,15.46,OCTSALE
10/13/23,3049365222,akronman,1,10/16/23,Brandon,FL,United States,28,2.8,4.5,31.93,1.21,33511,28.49,OCTSALE
10/13/23,3042053001,f7jateueg1yugslv,1,10/18/23,pittston,PA,United States,7,0.7,3.49,10.38,0.56,18640,9.23,OCTSALE
10/13/23,3049028590,0cyk82eiisiuixfd,1,10/16/23,Sundbyberg,,Sweden,26,2.6,9.39,40.99,1.48,17458,31.31,OCTSALE
10/13/23,3041864779,BobcatBudge,1,10/18/23,Hicksville,OH,United States,7,0.7,3.49,10.45,0.56,43526-9726,9.23,OCTSALE
10/13/23,3041836527,nichaelamatthews,2,10/16/23,Edgewood,KY,United States,42,4.2,0,40.07,1.45,41017,36.35,OCTSALE
10/13/23,3041822553,ifgma1kx,1,10/18/23,Carrollton,TX,United States,7,0.7,3.49,10.6,0.57,75006-5080,9.22,OCTSALE
10/13/23,3041654457,a5whwyhjp0m9wgpo,1,10/16/23,HARVEST,AL,United States,18,1.8,0,17.5,0.78,35749,15.42,OCTSALE
10/13/23,3048710688,tl4u9jl45rtbnp7o,1,10/18/23,Yonkers,NY,United States,7,0.7,3.49,10.66,0.57,10701,9.22,OCTSALE
10/13/23,3041470741,jodielysse,1,10/18/23,Houston,TX,United States,7,0.7,3.49,10.6,0.57,77044,9.22,OCTSALE
10/13/23,3048445888,,1,10/16/23,Halifax,West Yorkshire,United Kingdom,6,0.6,2.49,9.47,0.53,HX3 5RJ,7.36,OCTSALE
10/13/23,3048431208,olague16,1,10/13/23,Bensenville,IL,United States,26,2.6,0,25.27,1.01,60106-2611,22.39,POWEROF10
10/13/23,3048378794,dfreni,1,10/16/23,Chicago,IL,United States,27,2.7,0,26.79,1.05,60657,23.25,OCTSALE
10/12/23,3041119413,chelsyvicencio,1,10/18/23,Loves Park,IL,United States,7,0.7,3.49,10.65,0.57,61111,9.22,OCTSALE
10/12/23,3040908313,8xw1gn3cqmzo0tv6,1,10/18/23,Sippy Downs,QLD,Australia,7,0.7,4.25,11.61,0.6,4556,9.95,OCTSALE
10/11/23,3040166341,marialuzlara2,1,10/18/23,NORTH LAS VEGAS,NV,United States,7,0.7,3.49,10.32,0.56,89031,9.23,OCTSALE
10/10/23,3038861701,oqsmuca7,1,10/11/23,Allen Park,MI,United States,27,0,0,28.62,1.11,48101,25.89,
10/10/23,3038767157,dxp1kspyzev3s6j5,1,10/14/23,Brooklyn,NY,United States,21,0,4,27.22,1.07,11225-3813,23.93,
10/10/23,3045572430,3o40j4ub,1,10/12/23,East Meadow,NY,United States,15,0,3,18.83,0.81,11554,17.19,
10/10/23,3045312106,soyjeana,1,12/08/23,FPO,AE,United States,7,0,3.49,10.49,0.56,9618,9.93,
10/10/23,3038129061,evanarsdale22,1,10/13/23,LEICESTER,NY,United States,15.99,0,0,17.27,0.77,14481,15.22,
10/09/23,3037063831,jayscott91,1,10/11/23,Westminster,CO,United States,7,0,3.49,10.91,0.58,80020,9.91,
10/09/23,3044059570,courtneyrenee41,1,10/11/23,Hobart,WI,United States,7,0,3.49,10.97,0.58,54155,9.91,
10/08/23,3043531950,jgalindo13,2,10/10/23,Brooklyn,NY,United States,14,0,4.48,20.12,0.85,11205,17.63,
10/08/23,3036184515,zc7kd6obhofv24lo,1,10/10/23,Danville,CA,United States,7,0,3.49,11.1,0.58,94526,9.91,
10/08/23,3043153522,vvwvsqw3,1,10/10/23,LAS VEGAS,NV,United States,7,0,3.49,11.08,0.58,89128-0471,9.91,
10/08/23,3035827327,g93d4hjvrusaxlhe,1,10/08/23,ANTIOCH,CA,United States,8,0,0,8,0.49,94531,7.51,
10/07/23,3035151863,joelrdarner,1,10/16/23,Mesa,AZ,United States,11,1.1,0,10.72,0.57,85205,9.33,POWEROF10
10/06/23,3034301315,chloerudic,1,10/10/23,Paramus,NJ,United States,7,0,3.49,11.18,0.59,7652,9.9,
10/06/23,3041244674,nbuvvxhpslhyz8fm,1,10/09/23,ORLANDO,FL,United States,21,0,0,22.37,0.92,32825,20.08,
10/06/23,3034189079,igotbestkids,1,10/06/23,Pittsboro,NC,United States,8,0,0,8.56,0.51,27312,7.49,
10/06/23,3040352086,c54h0trhk72lwo6o,1,10/10/23,Anahiem,CA,United States,7,0,3.49,11.03,0.58,92801,9.91,
10/06/23,3033375111,0kmqbcbw39hshqir,1,10/06/23,Dubai,Dubai,United Arab Emirates,8,0,0,8.4,0.5,,7.5,
10/05/23,3033233165,chicadenica,1,10/10/23,NORTH CHARLESTON,SC,United States,7,0.7,3.49,10.67,0.57,29418,9.22,POWEROF10
10/04/23,3032075465,hsdrx4d7eqdpa0wc,1,10/10/23,Englewood,CO,United States,7,0,3.49,11.25,0.59,80111,9.9,
10/04/23,3031531613,oandgirls,1,10/06/23,San Antonio,TX,United States,8,0,0,8.66,0.51,78216,7.49,
10/04/23,3038106454,sg685gjt7ep8nf85,1,10/10/23,Beavercreek,OH,United States,7,0,3.49,11.2,0.59,45431,9.9,
10/03/23,3037597130,gxfitx6t,1,10/10/23,NEW YORK,NY,United States,7,0,3.49,11.42,0.59,10021-3223,9.9,
10/03/23,3037353258,zacguppy5,1,10/10/23,Alexandria,VA,United States,7,0,3.49,10.91,0.58,22308,9.91,
10/02/23,3036686140,,1,10/03/23,Northampton,MA,United States,25,0,5,31.56,1.2,1060,28.8,
10/02/23,3029562905,vv2oypvm,1,10/03/23,Madison,NJ,United States,7,0,3.49,11.18,0.59,7940,9.9,
10/02/23,3036442276,AngelaM87,1,10/04/23,Lincoln,RI,United States,15,0,3,18,0.79,2865,17.21,
10/02/23,3029486847,kgiller,1,10/04/23,Charleston,SC,United States,19,0,0,20.71,0.87,29412,18.13,
10/02/23,3036309882,kd1yfcst90dtgq67,1,10/03/23,Eeklo,,Belgium,8,0.8,0,8.71,0.51,9900,6.69,POWEROF10
10/02/23,3029301763,tristadebolt14,1,10/03/23,Indianapolis,IN,United States,7,0,3.49,11.22,0.59,46237,9.9,
10/02/23,3029086465,megs519,1,10/04/23,Mohegan Lake,NY,United States,15,0,3,18.79,0.81,10510,17.19,
10/02/23,3035983250,wxcmtc4c7vvs51ng,1,10/11/23,SILVER SPRING,MD,United States,26,0,3.99,31.55,1.2,20901-4062,28.79,
10/01/23,3028869953,,1,10/03/23,POTTSTOWN,PA,United States,7,0,3.49,11.12,0.58,19464,9.91,
10/01/23,3028808881,makayla9064,1,10/03/23,MARYVILLE,TN,United States,6,0,0,6.59,0.45,37804,5.55,
10/01/23,3035641110,havsweets,1,10/02/23,Latrobe,PA,United States,25,0,5,31.8,1.2,15650,28.8,
10/01/23,3028276659,29g6tzja4o6frsyd,1,10/03/23,Middle Village,NY,United States,7,0,3.49,11.42,0.59,11379,9.9,
10/01/23,3034884992,nfxvyieh,1,10/03/23,BUDD LAKE,NJ,United States,7,0,3.49,11.18,0.59,07828-3615,9.9,
10/01/23,3034609074,qy7xqkth,1,10/03/23,Carol Stream,IL,United States,21,0,0,22.68,0.93,60188,20.07,
09/30/23,3034552380,akerr1228,1,09/30/23,Parma,OH,United States,8,0,0,8,0.49,44134,7.51,
09/30/23,3027654443,hannahlavi,1,10/11/23,Denver,CO,United States,26,0,3.99,31.26,1.19,80222-6317,28.8,
09/30/23,3034489590,8ajhsd50,1,10/03/23,Walhalla,SC,United States,6,0,0,6,0.43,29691,5.57,
09/30/23,3034280986,bwjfcy8v,1,10/03/23,BIRMINGHAM,AL,United States,7,0.7,3.49,10.29,0.56,35216,9.23,POWEROF10
09/30/23,3027384557,,1,10/03/23,Old bridge,NJ,United States,7,0,3.49,11.18,0.59,8857,9.9,
09/28/23,3032329380,peeps45331,1,09/29/23,Lincoln,MA,United States,21,0,0,22.31,0.92,1773,20.08,
09/28/23,3025323733,christienicole7,1,10/03/23,Glen Burnie,MD,United States,6.95,0,3.49,10.86,0.58,21060,9.86,
09/28/23,3024785771,y2xl6ads5od7ewax,1,09/30/23,sherborne,dorset,United Kingdom,6.95,0,2.49,11.33,0.59,DT9 3RP,8.85,
09/27/23,3030653372,0cw2kclu,1,10/02/23,NEW ROCHELLE,NY,United States,6.95,0,3.49,11.31,0.59,10801,9.85,
09/27/23,3030560834,30a90mojntdkch3r,1,10/05/23,DALLAS,TX,United States,24.99,0,0,27.05,1.06,75229,23.93,
09/26/23,3029648194,zae92pf9m87nncpn,1,10/02/23,SNEADS FERRY,NC,United States,6.95,0,3.49,11.17,0.59,28460-8099,9.85,
09/26/23,3029305162,latiacrawford,1,10/06/23,Springfield,IL,United States,19.99,0,0,21.44,0.89,62707,19.1,
09/26/23,3022449733,n2hlvy41oki1hyx3,1,10/02/23,Glendale,CA,United States,6.95,0,3.49,11.15,0.58,91206-4945,9.86,
09/25/23,3029034310,mspellman262,1,10/02/23,PITTSBURGH,PA,United States,6.95,0,3.49,11.07,0.58,15226,9.86,
09/25/23,3022230207,luisamontenegro,1,10/02/23,Plainfield,IL,United States,6.95,0,3.49,11.35,0.59,60586,9.85,
09/25/23,3028490814,lssjnyot,1,10/02/23,Clinton,MA,United States,6.95,0,3.49,10.87,0.58,01510-1429,9.86,
09/25/23,3021341345,ldwxrah972pawidu,1,09/27/23,Humble,TX,United States,6.95,0,3.49,11.2,0.59,77396,9.85,
09/24/23,3021292593,barbizo83,1,09/27/23,Austin,TX,United States,6.95,0,3.49,11.3,0.59,78729-7947,9.85,
09/24/23,3020876599,40lykqyoadd0y39t,1,09/27/23,Inglewood,CA,United States,19.99,0,0,21.89,0.91,90304,19.08,
09/24/23,3026932450,ztohx5lu,1,09/27/23,DELRAY BEACH,FL,United States,6.95,0,3.49,11.17,0.59,33446,9.85,
09/24/23,3020237241,qnr6p580vnszr05d,1,09/27/23,MALDEN,MO,United States,6.95,0,3.49,11.29,0.59,63863,9.85,
09/23/23,3019603195,eyzpdpq9,1,09/27/23,Ontario,CA,United States,6.95,0,3.49,11.05,0.58,91761,9.86,
09/22/23,3019035621,niavoltis,1,09/27/23,Turnersville,NJ,United States,5.99,0,0,5.99,0.43,8012,5.56,
09/22/23,3025355384,p4hwvp3r81k6sdtn,1,09/27/23,CHICAGO,IL,United States,6.95,0.7,3.49,10.74,0.57,60642-2668,9.17,POWEROF10
09/21/23,3024387532,1hhnlyjo,1,09/26/23,Vancouver,BC,Canada,6.95,0,19.25,26.2,1.04,V5P 2C4,25.16,
09/20/23,3017065709,thandi4u,1,09/22/23,Wesrborough,MA,United States,21.99,0,4,27.36,1.07,1581,24.92,
09/20/23,3016999461,OdetteDaSilva21,1,09/26/23,Houston,TX,United States,6.95,0,3.49,11.3,0.59,77056,9.85,
09/19/23,3022666668,cbplacide,1,09/19/23,Cypress,TX,United States,2.99,0,0,3.24,0.35,77433,2.64,
09/19/23,3016036721,edttupm9153mdu88,1,09/20/23,UPLAND,CA,United States,9.99,1,0,9.69,0.54,91786,8.45,POWEROF10
09/19/23,3015558785,oox0svqk,1,09/26/23,HAMPTON,VA,United States,6.95,0,3.49,10.86,0.58,23661,9.86,
09/19/23,3021874778,deannapiselli,1,09/20/23,Milford,CT,United States,9.99,0,0,10.62,0.57,6461,9.42,
09/19/23,3015130199,3cfndqqc,1,09/21/23,mableton,GA,United States,6.95,0,3.49,11.07,0.58,30126,9.86,
09/18/23,3020947268,sarahveve,1,09/19/23,Xenia,OH,United States,19.99,0,0,21.34,0.89,45385,19.1,
09/18/23,3014361293,xkzlhmj306kl6kpi,1,09/21/23,NEWARK,DE,United States,6.95,0,3.49,10.44,0.56,19702,9.88,
09/17/23,3013698845,niavoltis,1,09/18/23,Turnersville,NJ,United States,5.99,0,0,5.99,0.43,8012,5.56,
09/17/23,3020214044,dq1nmocg3gkya9vq,1,09/21/23,Sterling Heights,MI,United States,6.95,0,3.49,10.86,0.58,48313,9.86,
09/17/23,3020125804,3hpkeuvi4caeodzp,1,09/21/23,Rochester,NY,United States,6.95,0,3.49,11.28,0.59,14609,9.85,
09/16/23,3019063716,eoedugzo4yejwzug,1,09/20/23,Gulfport,MS,United States,19.99,0,0,21.39,0.89,39501,19.1,
09/16/23,3018586990,5cayapfd,1,09/21/23,BATTLE CREEK,MI,United States,6.95,0,3.49,10.86,0.58,49014,9.86,
09/16/23,3018571200,GraceRiendeU,1,09/20/23,Winston Salem,NC,United States,16.99,1.7,0,16.23,0.74,27106,14.55,POWEROF10
09/15/23,3017735172,lynellecargo,1,09/21/23,Salinas,CA,United States,6.95,0,3.49,11.08,0.58,93906,9.86,
09/15/23,3017368550,w9qulqi1ga4phexb,1,09/21/23,San Diego,CA,United States,6.95,0,3.49,10.98,0.58,92102,9.86,
09/15/23,3017051750,wendydarling09,1,09/21/23,Dallas,TX,United States,6.95,0.7,3.49,10.54,0.57,75228,9.17,POWEROF10
09/15/23,3010445299,zkhpl7zq,1,09/15/23,Rosenberg,TX,United States,7.95,0,0,8.45,0.5,77469,7.45,
09/14/23,3016824394,ga9xvkkx,1,09/21/23,Reno,NV,United States,6.95,0,3.49,11.01,0.58,89506,9.86,
09/14/23,3016671044,caligurl1813,1,09/20/23,Liberal,KS,United States,13.99,1.4,3,16.75,0.75,67901-3108,14.84,POWEROF10
09/14/23,3009418077,imkc,2,09/15/23,Reno,NV,United States,13.9,0,3.49,18.54,0.81,89509,16.58,
09/14/23,3009380435,avdpkbzj,1,09/15/23,SUNNYSIDE,WA,United States,6.95,0,3.49,11.3,0.59,98944,9.85,
09/13/23,3009025515,ogn2hgyo,1,09/15/23,FREEHOLD,NJ,United States,6.95,0,3.49,11.13,0.58,7728,9.86,
09/13/23,3015379456,cuufnaqj,1,09/16/23,MATTHEWS,NC,United States,19.99,0,0,21.44,0.89,28105,19.1,
09/13/23,3015174276,6k4ye6xw,1,09/17/23,Milton,MA,United States,13.99,0,3,16.99,0.76,2186,16.23,
09/12/23,3014431608,9sm4d9dfvnzjd1u8,1,09/18/23,Wolverhampton,,United Kingdom,6.95,0,2.49,11.33,0.59,WV10 7AL,8.85,
09/12/23,3014431496,kd86jgln2n3p88yi,1,09/15/23,BETHLEHEM,PA,United States,6.95,0,3.49,11.07,0.58,18015,9.86,
09/12/23,3014309732,evectic,1,09/15/23,Union,NJ,United States,6.95,0,3.49,11.13,0.58,07083-3738,9.86,
09/12/23,3007697591,britanywhitesel,1,09/12/23,Midlothian,TX,United States,5.99,0,0,6.48,0.44,76065,5.55,
09/11/23,3007143003,,1,09/17/23,Tampa,FL,United States,13.99,0,3,16.99,0.76,33609,16.23,
09/11/23,3013531482,tktgpvh3t32c6ges,1,09/15/23,MIDDLETOWN,RI,United States,6.95,0,3.49,11.17,0.59,2842,9.85,
09/11/23,3006569063,rapjdoll,1,09/15/23,Rocky Hill,CT,United States,6.95,0,3.49,11.1,0.58,06067-1148,9.86,
09/10/23,3006076831,bestheartck,1,09/15/23,Boca Raton,FL,United States,6.95,0,3.49,11.17,0.59,33431,9.85,
09/10/23,3006057135,,2,09/15/23,Washington,DC,United States,13.9,0,3.49,18.43,0.8,20010,16.59,
09/10/23,3005360549,qzyikzzv9akchkbe,1,09/12/23,Miami Shores,FL,United States,6.95,0,3.49,11.17,0.59,33138,9.85,
09/10/23,3005212721,bayblick,1,09/12/23,Modesto,CA,United States,6.95,0,3.49,11.06,0.58,95350,9.86,
09/09/23,3004843657,uofovyiitxmvx0a9,1,09/12/23,LOS ANGELES,CA,United States,6.95,0,3.49,11.1,0.58,90029-1861,9.86,
09/09/23,3011209822,,1,09/12/23,ATLANTIC BEACH,FL,United States,6.95,0,3.49,11.22,0.59,32233,9.85,
09/09/23,3010770282,nickhero4hire,1,09/12/23,Bronx,NY,United States,6.95,0,3.49,11.37,0.59,10472-6059,9.85,
09/09/23,3004120701,cptc7r18xbb33c0g,1,09/12/23,Columbia,MO,United States,5.99,0,0,5.99,0.43,65203,5.56,
09/08/23,3010076390,courtnicbla22,1,09/12/23,Altoona,PA,United States,6.95,0,3.49,11.07,0.58,16602,9.86,
09/07/23,3002834257,2bz1lu5fn3cpbj3s,1,09/07/23,College Station,TX,United States,2.99,0,0,3.24,0.35,77840,2.64,
09/07/23,3002420607,smg7226zk3bjbxrn,1,09/07/23,Needham,MA,United States,3.98,0,0,3.98,0.37,2492,3.61,
09/07/23,3008855236,nora98uw,1,09/12/23,MOUNT JULIET,TN,United States,6.95,0,3.49,11.46,0.59,37122,9.85,
09/07/23,3008598744,yx0dhtoa,1,09/12/23,Woodland,CA,United States,6.95,0,3.49,11,0.58,95776,9.86,
09/06/23,3001439503,jenaenewberg,1,09/06/23,South Bend,IN,United States,5.99,0,0,5.99,0.43,46615,5.56,
09/06/23,3007967940,zimkey88,1,09/12/23,Milwaukee,WI,United States,6.95,0,3.49,11.01,0.58,53202,9.86,
09/06/23,3001351931,,1,09/12/23,Alexandria,VA,United States,6.95,0,3.49,10.86,0.58,22303,9.86,
09/06/23,3007843612,mrk21,1,09/12/23,Miami Springs,FL,United States,6.95,0.7,3.49,10.42,0.56,33166,9.18,THANKYOU
09/05/23,3006847908,kngng1nc,1,09/05/23,Greenville,IL,United States,5.99,0,0,5.99,0.43,62246,5.56,
09/04/23,3006396268,Jewellsx3,1,09/08/23,Waterford,VA,United States,6.95,0,3.49,10.86,0.58,20197,9.86,
09/04/23,2999621789,5z6zyah7m72s4vcy,1,09/04/23,LEIGHTON,AL,United States,2.99,0,0,3.23,0.35,35646,2.64,
09/04/23,2999435695,georgieporge2,1,09/05/23,Walsall,,United Kingdom,6.95,0,2.49,11.33,0.59,Ws5 3nh,8.85,
09/04/23,3006003332,wremingt1,1,09/06/23,Powder Springs,GA,United States,5.99,0,0,5.99,0.43,30127,5.56,
09/04/23,3005605932,kbzx9jak,1,09/08/23,Duluth,GA,United States,6.95,0,3.49,11.07,0.58,30096,9.86,
09/04/23,2998948845,feej52igu7cg09dx,1,09/06/23,Winchester,,United Kingdom,5.99,0,0,7.19,0.47,SO21 1FW,5.52,
09/04/23,3005411558,buh7ka3u7sxk0kol,1,09/05/23,Mabelvale,AR,United States,7.95,0,0,7.95,0.49,72103,7.46,
09/03/23,2998527265,19d6mbzydkxylbes,1,09/06/23,Chicago,IL,United States,6.95,0,3.49,11.51,0.6,60639,9.84,
09/03/23,2998482077,alliemathews04,1,09/06/23,PHOENIX,AZ,United States,13.99,0,3,17.87,0.79,85086,16.2,
09/03/23,2998329021,1893ak,1,09/06/23,San Jose,CA,United States,6.95,0,3.49,11.09,0.58,95116,9.86,
09/03/23,3004863128,5bvydlzi,1,09/06/23,STURGIS,MI,United States,6.95,0,3.49,10.86,0.58,49091,9.86,
09/03/23,2998166863,qxtoqugu,1,09/06/23,Livonia,MI,United States,15.99,0,0,16.95,0.76,48152,15.23,
09/03/23,2997967067,laurensalgado616,1,09/03/23,Springdale,AR,United States,5.99,0,0,5.99,0.43,72764,5.56,
09/02/23,2997613151,DeniseTS2,1,09/06/23,Wexford,PA,United States,6.95,0.7,3.49,10.33,0.56,15090,9.18,POWEROF10
09/02/23,3003950642,8k1i6j0upk86bd4p,1,09/06/23,Pomona,CA,United States,6.95,0,3.49,11.15,0.58,91767,9.86,
09/02/23,3003884374,,1,09/07/23,Cedar Rapids,IA,United States,15.99,0,0,17.11,0.76,52405,15.23,
09/02/23,2997196801,madisonf4,1,09/06/23,Cincinnati,OH,United States,6.95,0,3.49,11.25,0.59,45202-3456,9.85,
09/02/23,3003672262,ariejimenez,1,09/03/23,CEDAR PARK,TX,United States,5.99,0,0,6.48,0.44,78613,5.55,
09/01/23,2996530679,8fo2wdpdi2zl7he9,1,09/06/23,NEW YORK,NY,United States,6.95,0,3.49,11.37,0.59,10029-6013,9.85,
08/31/23,2995503211,tqoxu6nm,1,09/06/23,Champaign,IL,United States,6.95,0,3.49,11.38,0.59,61820,9.85,
08/31/23,2995426365,e9dj0ke6spnbmx2n,1,08/31/23,ROANOKE,VA,United States,2.99,0,0,2.99,0.34,24018,2.65,
08/31/23,3001975148,sgk7zmcq,1,09/06/23,Louisville,KY,United States,6.95,0,3.49,11.07,0.58,40220,9.86,
08/31/23,2995257733,u3ppqqla,1,09/06/23,Westland,MI,United States,6.95,0.7,3.49,10.12,0.55,48185,9.19,POWEROF10
08/31/23,2995089009,3hul9k7vr066dvnu,1,09/06/23,ROCKLAND,MA,United States,6.95,0,3.49,10.87,0.58,02370-1958,9.86,
08/31/23,3001384796,harpreetkaur512,1,09/06/23,Logan Township,NJ,United States,6.95,0,3.49,11.13,0.58,8085,9.86,
08/30/23,2994202629,numme4wf6z7wr9du,2,09/06/23,ALBUQUERQUE,NM,United States,13.9,0,6.98,22.47,0.92,87113,19.96,
08/30/23,2994006641,2losnu7p,1,09/06/23,Bowie,MD,United States,6.95,0,3.49,10.86,0.58,20721,9.86,
08/29/23,2993046331,ypvrguld,1,09/06/23,San Francisco,CA,United States,6.95,0,3.49,11.04,0.58,94121,9.86,
08/29/23,2992975177,kelseybuckley2,1,09/06/23,Charlotte,NC,United States,6.95,0,3.49,11.2,0.59,28202,9.85,
08/29/23,2992819903,bzqaouwj,1,09/06/23,Harleysville,PA,United States,6.95,0,3.49,11.07,0.58,19438,9.86,
08/28/23,2998915570,rusty1737,1,09/01/23,Roseville,CA,United States,13.99,0,3,18.07,0.79,95678,16.2,
08/28/23,2998637082,courtneylofton,1,09/01/23,Houston,TX,United States,6.95,0,3.49,11.3,0.59,77007,9.85,
08/27/23,2997917698,616ojoif,1,09/01/23,COLORADO SPRINGS,CO,United States,6.95,0.7,3.49,10.54,0.57,80917-3519,9.17,THANKYOU
08/27/23,2991221281,kkrull911,1,08/31/23,Lemont,IL,United States,15.99,0,0,17.59,0.78,60439-6120,15.21,
08/27/23,2997807980,naayabali,1,09/01/23,Houston,TX,United States,20.99,0,4,27.05,1.06,77002,23.93,
08/27/23,2990806111,zjvetpk14r91kvhn,1,09/01/23,Bronx,NY,United States,6.95,0,3.49,11.37,0.59,10461,9.85,
08/27/23,2990499971,Ilovenic,1,08/30/23,Roscoe,IL,United States,15.99,1.6,0,15.51,0.72,61073,13.67,POWEROF10
08/26/23,2990021569,inuerwgg,1,08/31/23,Alpharetta,GA,United States,6.95,0,3.49,11.25,0.59,30004,9.85,
08/26/23,2996656402,eucsfo18,1,08/31/23,Mesa,AZ,United States,6.95,0,3.49,11.02,0.58,85203,9.86,
08/26/23,2989545351,gabriellaacuna,1,08/31/23,Miami,FL,United States,6.95,0,3.49,11.17,0.59,33144,9.85,
08/26/23,2989501269,cheydet401,1,08/31/23,New Milford,CT,United States,6.95,0,3.49,11.1,0.58,6776,9.86,
08/26/23,2995957278,agross1221,1,08/31/23,EXPORT,PA,United States,6.95,0,3.49,11.07,0.58,15632,9.86,
08/25/23,2988548185,yavgaena,1,09/03/23,Nieuwegein,,The Netherlands,6.95,0,5,14.46,0.68,3431RM,11.27,
08/25/23,2988474469,gxjztgyk,1,08/25/23,ZANESVILLE,OH,United States,7.95,0,0,7.95,0.49,43701,7.46,
08/24/23,2994837698,kicka88101,1,08/24/23,Clovis,NM,United States,2.99,0,0,3.23,0.35,88101,2.64,
08/24/23,2988049593,nlabruto1,1,08/31/23,Seminole,FL,United States,6.95,0,3.49,11.17,0.59,33776,9.85,
08/24/23,2987964261,9gcrk109nmzck4ut,1,08/31/23,Jessup,PA,United States,6.95,0,3.49,11.07,0.58,18434,9.86,
08/24/23,2994130546,lizlobov1579,1,08/29/23,Pittsburgh,PA,United States,6.95,0,3.49,11.07,0.58,15211,9.86,
08/23/23,2993809076,k59l6jdp5mfw0i7b,1,08/29/23,Cypress,CA,United States,6.95,0,3.49,10.98,0.58,90630-2182,9.86,
08/23/23,2987127117,bekahlynnhill,1,08/24/23,Franklin,VA,United States,25.99,0,0,27.55,1.08,23851,24.91,
08/23/23,2986886057,smbansmer,1,08/29/23,Glendora,CA,United States,6.95,0.7,3.49,10.38,0.56,91741,9.18,POWEROF10
08/23/23,2986734431,citajahy,1,08/29/23,ORLANDO,FL,United States,6.95,0,3.49,11.12,0.58,32819-2205,9.86,
08/22/23,2992581948,c7wom6if,1,08/29/23,Bowie,MD,United States,6.95,0.7,3.49,10.12,0.55,20720,9.19,POWEROF10
08/22/23,2992568704,nrrbc1su,4,08/28/23,New York,NY,United States,36.84,0,0,40.11,1.45,10019,35.39,
08/22/23,2985778761,p4v8pbl0fdffc9qu,1,08/29/23,HAMDEN,CT,United States,6.95,0,3.49,11.1,0.58,6514,9.86,
